5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,9.0,11.0,16.0,16.0,13.0,13.0,13.0,15.0,13.0,14.0,20.0,20.0,22.0,22.0,25.0,32.0,34.0,40.0,47.0,48.0,42.0,40.0,35.0,42.0,44.0,40.0,41.0,36.0,31.0,30.0,31.0,30.0,28.0,28.0,22.0,18.0,18.0,21.0,16.0,15.0,12.0,13.0,9.0,6.0,7.0,5.0,7.0,6.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,8.0,10.0,11.0,13.0,16.0,13.0,14.0,12.0,11.0,9.0,9.0,10.0,10.0,7.0,6.0,7.0,6.0,7.0,9.0,10.0,11.0,12.0,17.0,16.0,15.0,18.0,22.0,23.0,21.0,20.0,18.0,17.0,12.0,9.0,8.0,11.0,11.0,10.0,11.0,8.0,8.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,7.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,13.0,13.0,15.0,15.0,17.0,21.0,20.0,22.0,21.0,23.0,29.0,32.0,31.0,29.0,26.0,27.0,38.0,45.0,52.0,54.0,57.0,58.0,62.0,74.0,75.0,79.0,94.0,106.0,119.0,129.0,139.0,156.0,164.0,146.0,130.0,115.0,109.0,106.0,99.0,92.0,80.0,66.0,57.0,49.0,39.0,38.0,32.0,31.0,25.0,22.0,18.0,14.0,14.0,12.0,11.0,10.0,10.0,10.0,8.0,9.0,8.0,6.0,7.0,6.0,4.0,3.0
5.0,6.0,4.0,5.0,4.0,5.0,6.0,9.0,10.0,13.0,17.0,17.0,19.0,20.0,26.0,28.0,32.0,33.0,36.0,40.0,36.0,36.0,42.0,41.0,44.0,47.0,47.0,48.0,53.0,56.0,62.0,65.0,78.0,87.0,103.0,112.0,119.0,121.0,128.0,135.0,137.0,152.0,171.0,163.0,137.0,123.0,106.0,94.0,75.0,71.0,58.0,49.0,38.0,29.0,29.0,26.0,21.0,20.0,18.0,15.0,12.0,10.0,8.0,8.0,7.0,5.0,7.0,5.0,6.0,7.0,6.0,5.0,4.0,3.0,3.0,1.0
5.0,5.0,6.0,7.0,7.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,6.0,4.0,2.0,1.0,2.0,4.0,7.0,8.0,10.0,10.0,15.0,20.0,24.0,28.0,37.0,44.0,56.0,59.0,61.0,53.0,60.0,62.0,75.0,86.0,95.0,95.0,95.0,103.0,110.0,120.0,110.0,101.0,90.0,79.0,68.0,59.0,57.0,50.0,45.0,40.0,32.0,28.0,28.0,22.0,21.0,15.0,15.0,13.0,10.0,10.0,8.0,7.0,7.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
5.0,6.0,7.0,9.0,12.0,11.0,12.0,14.0,11.0,15.0,15.0,14.0,18.0,21.0,21.0,19.0,19.0,20.0,24.0,32.0,31.0,32.0,41.0,50.0,57.0,65.0,71.0,79.0,91.0,103.0,116.0,131.0,137.0,159.0,174.0,196.0,215.0,223.0,245.0,277.0,325.0,356.0,388.0,369.0,334.0,298.0,253.0,223.0,209.0,187.0,166.0,157.0,142.0,126.0,124.0,102.0,95.0,82.0,77.0,62.0,57.0,56.0,43.0,36.0,32.0,28.0,24.0,21.0,19.0,19.0,14.0,12.0,10.0,7.0,8.0,8.0
5.0,5.0,5.0,6.0,7.0,7.0,5.0,4.0,7.0,7.0,8.0,7.0,6.0,10.0,11.0,12.0,15.0,17.0,19.0,18.0,23.0,34.0,35.0,41.0,45.0,46.0,48.0,52.0,52.0,47.0,48.0,47.0,50.0,53.0,67.0,83.0,90.0,91.0,102.0,102.0,123.0,137.0,145.0,144.0,134.0,126.0,100.0,92.0,75.0,67.0,70.0,60.0,60.0,55.0,55.0,47.0,46.0,38.0,33.0,30.0,24.0,21.0,17.0,12.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,7.0,5.0,3.0,4.0,5.0
5.0,6.0,8.0,8.0,9.0,9.0,11.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,10.0,13.0,17.0,17.0,21.0,27.0,31.0,29.0,30.0,38.0,45.0,46.0,49.0,50.0,51.0,59.0,73.0,76.0,85.0,88.0,94.0,103.0,120.0,115.0,108.0,103.0,93.0,77.0,66.0,58.0,46.0,41.0,37.0,34.0,29.0,22.0,22.0,22.0,21.0,22.0,20.0,18.0,19.0,16.0,16.0,14.0,10.0,8.0,6.0,5.0,4.0,4.0,5.0,3.0,2.0,3.0
5.0,5.0,5.0,8.0,12.0,9.0,10.0,9.0,8.0,12.0,17.0,17.0,23.0,23.0,24.0,28.0,25.0,25.0,40.0,47.0,54.0,64.0,65.0,73.0,76.0,78.0,83.0,88.0,95.0,103.0,127.0,136.0,149.0,157.0,174.0,188.0,212.0,232.0,270.0,294.0,317.0,347.0,393.0,374.0,354.0,338.0,295.0,256.0,216.0,187.0,170.0,148.0,140.0,125.0,110.0,96.0,88.0,83.0,72.0,65.0,57.0,53.0,43.0,40.0,36.0,32.0,33.0,31.0,26.0,20.0,21.0,21.0,22.0,19.0,18.0,13.0
5.0,5.0,6.0,8.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,8.0,8.0,8.0,10.0,10.0,10.0,9.0,13.0,15.0,13.0,13.0,18.0,17.0,24.0,26.0,30.0,29.0,37.0,41.0,44.0,46.0,46.0,53.0,49.0,40.0,34.0,29.0,25.0,24.0,19.0,20.0,15.0,13.0,14.0,9.0,7.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
